Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Plenary IIA: Jets (Chair M. Gyulassy),plenary,Results on jet spectra and structure from ALICE,"Morsch, Andreas",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andreas', 'last_name': 'Morsch', 'fullName': 'Morsch, Andreas', 'id': '315121', 'affiliation': 'CERN', 'emailHash': 'b7b733ff68a6bc2c69d289b3a4353b8c', 'db_id': 315121, 'person_id': 343704}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,Overview of results on jets from the CMS collaboration,"Veres, Gabor",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gabor', 'last_name': 'Veres', 'fullName': 'Veres, Gabor', 'id': '315122', 'affiliation': 'CERN', 'emailHash': '9f62ebb280ea3481d05e679b1a835398', 'db_id': 315122, 'person_id': 343705}"
Plenary VIE: Closing,other,Quark Matter in Darmstadt,"Braun-Munzinger, Peter",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Braun-Munzinger', 'fullName': 'Braun-Munzinger, Peter', 'id': '315387', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '94f5ca013cb530474bf55a85806c42b1', 'db_id': 315387, 'person_id': 343584}"
Parallel 6B: Exploring the QCD Phase Diagram (Chair K. Rajagopal),parallel,A No-Go Theorem for Critical Phenomena in QCD at finite temperature and density,"Hidaka, Yoshimasa",RIKEN Nishina Center,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yoshimasa', 'last_name': 'Hidaka', 'fullName': 'Hidaka, Yoshimasa', 'id': '314744', 'affiliation': 'RIKEN Nishina Center', 'emailHash': '77fdaac5501b507cfd185e8f8a84aa71', 'db_id': 314744, 'person_id': 343462}"
Parallel 6A: Heavy Flavor & Quarkonia (Chair Y. Akiba),parallel,Probing Hot and Dense Matter with c and b Measurements with PHENIX VTX Tracker,"Nouicer, Rachid",Brookhaven National Laboratory (BNL),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rachid', 'last_name': 'Nouicer', 'fullName': 'Nouicer, Rachid', 'id': '315209', 'affiliation': 'Brookhaven National Laboratory (BNL)', 'emailHash': '3040e318e850403fd595cce07706c471', 'db_id': 315209, 'person_id': 343758}"
Parallel 3D: Pre-Equilibrium & Initial State (Chair K. Eskola),parallel,Gravitational collapse and holographic thermalization,"Chesler, Paul",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Chesler', 'fullName': 'Chesler, Paul', 'id': '315421', 'affiliation': 'MIT', 'emailHash': '23ce53de5c8fc37cae51a96616c94563', 'db_id': 315421, 'person_id': 343499}"
Parallel 2B: Jets (Chair P. Jacobs),parallel,Measurements of jet suppression with ATLAS,"Angerami, Aaron Richard",Columbia University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Aaron Richard', 'last_name': 'Angerami', 'fullName': 'Angerami, Aaron Richard', 'id': '315468', 'affiliation': 'Columbia University (US)', 'emailHash': '11b23fd503aed050e358aa1d92b18a9d', 'db_id': 315468, 'person_id': 343914}"
Parallel 2D: Heavy Flavor & Quarkonia (Chair J.-P. Blaizot),parallel,J/psi production at mid-rapidity in Pb-Pb collisions at 2.76 TeV,"Arsene, Ionut Cristian",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ionut Cristian', 'last_name': 'Arsene', 'fullName': 'Arsene, Ionut Cristian', 'id': '315470', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '4cfe2348bf904704c9be2a4be39b90cb', 'db_id': 315470, 'person_id': 343915}"
Parallel 5C: High pt and Jets (Chair B. Cole),parallel,A Running Coupling Explanation of the Surprisingly Transparency of the QGP at LHC,"Buzzatti, Alessandro",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alessandro', 'last_name': 'Buzzatti', 'fullName': 'Buzzatti, Alessandro', 'id': '314281', 'affiliation': 'Columbia University', 'emailHash': '66a1c20c322d9528777d1357dd3fc660', 'db_id': 314281, 'person_id': 343116}"
Parallel 1D: Heavy Flavor & Quarkonia (Chair R. Granier de Cassagnac),parallel,Heavy quark potential at non-zero temperature and quarkonium spectral functions,"Petreczky, Peter",BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Petreczky', 'fullName': 'Petreczky, Peter', 'id': '314661', 'affiliation': 'BNL', 'emailHash': '9e86ae285689f7141a31c6ea60f4bdfd', 'db_id': 314661, 'person_id': 343411}"
Parallel 7A: Heavy Flavor & Quarkonia (Chair F. Antinori),parallel,Nuclear Modification Factor and Elliptic Flow of Muons from Open Heavy Flavour Decays at Forward Rapidity in Pb-Pb Collisions at 2.76 TeV with ALICE,"Zhang, Xiaoming",Univ. Blaise Pascal Clermont-Fe. II (FR),United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xiaoming', 'last_name': 'Zhang', 'fullName': 'Zhang, Xiaoming', 'id': '315127', 'affiliation': 'Univ. Blaise Pascal Clermont-Fe. II (FR)', 'emailHash': '1a86698aa97c2ee2e35e72dac52f80eb', 'db_id': 315127, 'person_id': 343708}"
Parallel 6D: Correlations & Fluctuations (Chair O. Evdokimov),parallel,Measurements of flow harmonics with the cumulant method from the ATLAS experiment,"Bold, Tomasz","AGH Univ. of Science amp; Technology, Krakow",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tomasz', 'last_name': 'Bold', 'fullName': 'Bold, Tomasz', 'id': '315464', 'affiliation': 'AGH Univ. of Science amp; Technology, Krakow', 'emailHash': 'c86400decf25d81fa6a9e609c133e417', 'db_id': 315464, 'person_id': 343381}"
Poster Session Reception,poster,J/Psi suppression in high multiplicity proton-proton collisions at LHC energies,"Lang, Thomas",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Thomas', 'last_name': 'Lang', 'fullName': 'Lang, Thomas', 'id': '315456', 'affiliation': '', 'emailHash': '6a8a14df59ca3838ec3adb04b85c7586', 'db_id': 315456, 'person_id': 343168}"
Parallel 3C: Electro-Weak Probes (Chair J. Kapusta),parallel,Measurement of direct photons in pp and Pb-Pb collisions with ALICE,"Wilde, Martin Rudolf",Westfaelische Wilhelms-Universitaet Muenster (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin Rudolf', 'last_name': 'Wilde', 'fullName': 'Wilde, Martin Rudolf', 'id': '314382', 'affiliation': 'Westfaelische Wilhelms-Universitaet Muenster (DE)', 'emailHash': 'b1ce599c4502f2edb941fa91f8692f6f', 'db_id': 314382, 'person_id': 343214}"
Parallel 2B: Jets (Chair P. Jacobs),parallel,Quantifying a Possibly Reduced Jet-Medium Coupling of the sQGP at the Large Hadron Collider,"Betz, Barbara",Frankfurt University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Barbara', 'last_name': 'Betz', 'fullName': 'Betz, Barbara', 'id': '314805', 'affiliation': 'Frankfurt University', 'emailHash': 'b24da9c76ce9cbfb3f1705589eda5080', 'db_id': 314805, 'person_id': 343506}"
Poster Session Reception,poster,The Effect of 3<->2 Rates on Thermalization in Covariant Transport,"Hemphill, Dustin",Purdue University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dustin', 'last_name': 'Hemphill', 'fullName': 'Hemphill, Dustin', 'id': '315030', 'affiliation': 'Purdue University', 'emailHash': '91e14298d3509bee68bee4fec43f785d', 'db_id': 315030, 'person_id': 343648}"
Poster Session Reception,poster,A Technique for Charm and Beauty Separation via DCA Unfolding,"McCumber, Michael",University of Colorado,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michael', 'last_name': 'McCumber', 'fullName': 'McCumber, Michael', 'id': '315160', 'affiliation': 'University of Colorado', 'emailHash': 'c18108762206aebb96e95603616ba470', 'db_id': 315160, 'person_id': 343253}"
Parallel 4B: Jets (Chair N. Armesto),parallel,Neutral meson production in pp and Pb-Pb collisions at the LHC measured with ALICE,"Peresunko, Dmitri",National Research Centre Kurchatov Institute (RU),Russia,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dmitri', 'last_name': 'Peresunko', 'fullName': 'Peresunko, Dmitri', 'id': '314384', 'affiliation': 'National Research Centre Kurchatov Institute (RU)', 'emailHash': '12699c36d082df0ce993a40b7d451503', 'db_id': 314384, 'person_id': 343215}"
Poster Session Reception,poster,"Fourth order corrections to the MV model, multiplicity distributions and KNO scaling","Petreska, Elena",Graduate Center/Baruch College CUNY,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Elena', 'last_name': 'Petreska', 'fullName': 'Petreska, Elena', 'id': '315441', 'affiliation': 'Graduate Center/Baruch College CUNY', 'emailHash': '4c35039954787d18bd923d0544e04744', 'db_id': 315441, 'person_id': 343901}"
Parallel 2A: Global & Collective Dynamics (Chair A. Poskanzer),parallel,Measurement of elliptic and higher-order harmonics at 2.76 TeV Pb-Pb collisions with the ATLAS detector,"Derendarz, Dominik Karol",Polish Academy of Sciences (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dominik Karol', 'last_name': 'Derendarz', 'fullName': 'Derendarz, Dominik Karol', 'id': '315460', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': '11832d8898ef11de86a67bbca886a067', 'db_id': 315460, 'person_id': 343912}"
"Parallel 1B, Jets (Chair X.N. Wang)",parallel,Study of correlations between neutral bosons and jets in lead-lead collisions at 2.76 TeV with the ATLAS detector,"Citron, Zvi",Weizmann Institute of Science (IL),IL,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zvi', 'last_name': 'Citron', 'fullName': 'Citron, Zvi', 'id': '315480', 'affiliation': 'Weizmann Institute of Science (IL)', 'emailHash': '4eaa956d20587d785ed14fe911d73c60', 'db_id': 315480, 'person_id': 343920}"
Parallel 1A: Global & Collective Dynamics (Chair U. Heinz),parallel,PHENIX Measurements of Higher-order Flow Harmonics for Identified Charged Hadrons in Au+Au Collisions at 39 – 200 GeV,"GU, YI",D,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'YI', 'last_name': 'GU', 'fullName': 'GU, YI', 'id': '314873', 'affiliation': 'D', 'emailHash': '35336ba721d8a042bfb54789d512bbb9', 'db_id': 314873, 'person_id': 343279}"
Poster Session Reception,poster,"Critical fluctuations of the higher moments of order parameter and energy from 3D-Ising, O(2) and O(4) models","Wu, Yuanfang","Institute of Particle Physics, CCNU, Wuhan, China",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yuanfang', 'last_name': 'Wu', 'fullName': 'Wu, Yuanfang', 'id': '315074', 'affiliation': 'Institute of Particle Physics, CCNU, Wuhan, China', 'emailHash': 'f21981519fdede05353ab6b3d8e51c14', 'db_id': 315074, 'person_id': 343676}"
Parallel 7D: Correlations & Fluctuations (Chair B. Wosiek),parallel,Measurement of event plane correlations in Pb-Pb collisions with the ATLAS detector,"Mohapatra, Soumya",State University of New York (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Soumya', 'last_name': 'Mohapatra', 'fullName': 'Mohapatra, Soumya', 'id': '315462', 'affiliation': 'State University of New York (US)', 'emailHash': '098f3c097bb6400e64dd2de0d2eee4aa', 'db_id': 315462, 'person_id': 343913}"
Parallel 6C: New Experimental Developments (Chair J. Stroth),parallel,The ALICE Inner Tracking System Upgrade,"Lemmon, Roy Crawford",Engin. & Phys. Sci. Research Coun. (GB),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Roy Crawford', 'last_name': 'Lemmon', 'fullName': 'Lemmon, Roy Crawford', 'id': '314606', 'affiliation': 'Engin. & Phys. Sci. Research Coun. (GB)', 'emailHash': '994cebd25408a8d8e13eba8e35a851a0', 'db_id': 314606, 'person_id': 343375}"
Parallel 7D: Correlations & Fluctuations (Chair B. Wosiek),parallel,Pseudorapidity dependence of the anisotropic flow with ALICE at the LHC,"Hansen, Alexander",University of Copenhagen (DK),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Hansen', 'fullName': 'Hansen, Alexander', 'id': '314986', 'affiliation': 'University of Copenhagen (DK)', 'emailHash': 'db5d3823e0eca4abd83a12015ef4a6a0', 'db_id': 314986, 'person_id': 343624}"
Parallel 5C: High pt and Jets (Chair B. Cole),parallel,Charged particle spectra and nuclear modification factor in lead-lead collisions at 2.76 TeV with the ATLAS detector at the LHC.,"Balek, Petr",Charles University (CZ),CZ,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Petr', 'last_name': 'Balek', 'fullName': 'Balek, Petr', 'id': '314621', 'affiliation': 'Charles University (CZ)', 'emailHash': 'f748d185730431f6552dd03ccc33f0f4', 'db_id': 314621, 'person_id': 343383}"
Parallel 6E: Initial State and p-A (Chair E. Wang),parallel,Drell-Yan Lepton-Pair-Jet Correlation in pA collisions,"Zaslavsky, David",Penn State University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'David', 'last_name': 'Zaslavsky', 'fullName': 'Zaslavsky, David', 'id': '315384', 'affiliation': 'Penn State University', 'emailHash': '3e58fbd15aef8548869812c14b37c3b1', 'db_id': 315384, 'person_id': 343867}"
Parallel 3B: Jets (Chair S. Mioduszewski),parallel,Jet fragmentation and jet properties in 2.76 TeV Pb+Pb collisions using the ATLAS Detector at LHC,"Rybar, Martin",Charles University (CZ),United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Rybar', 'fullName': 'Rybar, Martin', 'id': '315482', 'affiliation': 'Charles University (CZ)', 'emailHash': 'b3e6c12fabc90ce0a37121aa6f8b6912', 'db_id': 315482, 'person_id': 343921}"
Parallel 7A: Heavy Flavor & Quarkonia (Chair F. Antinori),parallel,Measurement of the nuclear modification factor and v2 of electrons from heavy flavour decays in Pb-Pb collisions at 2.76 TeV with ALICE,"Sakai, Shingo",Lawrence Berkeley National Lab. (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shingo', 'last_name': 'Sakai', 'fullName': 'Sakai, Shingo', 'id': '315474', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': 'b42b070992d0392eba653f0fda2d0ce0', 'db_id': 315474, 'person_id': 343917}"
Parallel 6E: Initial State and p-A (Chair E. Wang),parallel,Dijet Correlations in the Forward pA (eA) Collisions to Map the Phase Structure of Cold Nuclei Matter at Small-x,"Yuan, Feng",LBNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Feng', 'last_name': 'Yuan', 'fullName': 'Yuan, Feng', 'id': '314512', 'affiliation': 'LBNL', 'emailHash': '8722d6734fa18d166280860fc5acb4d3', 'db_id': 314512, 'person_id': 343199}"
Parallel 6A: Heavy Flavor & Quarkonia (Chair Y. Akiba),parallel,Measurement of the D meson elliptic flow in Pb-Pb collisions at 2.76 TeV with ALICE.,"Caffarri, Davide",Universita e INFN (IT),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Davide', 'last_name': 'Caffarri', 'fullName': 'Caffarri, Davide', 'id': '315125', 'affiliation': 'Universita e INFN (IT)', 'emailHash': 'd7380206f8a776a0999dd1b165dbeb33', 'db_id': 315125, 'person_id': 343707}"
Parallel 1A: Global & Collective Dynamics (Chair U. Heinz),parallel,Non-linear anisotropic flow  with ideal and viscous hydrodynamics,"Yan, Li",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Li', 'last_name': 'Yan', 'fullName': 'Yan, Li', 'id': '314369', 'affiliation': 'Stony Brook University', 'emailHash': '995d08201cdc49cbb8230bea56fea991', 'db_id': 314369, 'person_id': 343201}"
Poster Session Reception,poster,Directed flow at midrapidity at the LHC,"Retinskaya, Ekaterina",IPhT Saclay,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ekaterina', 'last_name': 'Retinskaya', 'fullName': 'Retinskaya, Ekaterina', 'id': '315261', 'affiliation': 'IPhT Saclay', 'emailHash': '6b605cd4d06f726046dc5233a0538fcc', 'db_id': 315261, 'person_id': 343798}"
Parallel 1C: Correlations & Fluctuations (Chair J. Schukraft),parallel,Detailed HBT measurement with respect to event plane and collision energy in Au+Au collisions at PHENIX,"Niida, Takafumi for the PHENIX Collaboration",University of Tsukuba,UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Takafumi for the PHENIX Collaboration', 'last_name': 'Niida', 'fullName': 'Niida, Takafumi for the PHENIX Collaboration', 'id': '314296', 'affiliation': 'University of Tsukuba', 'emailHash': 'a6bcf2a7df71b01e46b5a5223d213055', 'db_id': 314296, 'person_id': 343130}"
